,현장명,일시,신호횟수,운영시간,녹색시간,통과보행자,보행시간,보행자분류_일반,보행자분류_적색횡단,보행자분류_무단횡단,연장_횟수,연장_시간,연장_보행자,교통약자_목발,교통약자_휠체어,교통약자_유모차,교통약자_합계,잔여,보도길이,보행속도,시간,월,요일(0~6)
0,자운학교앞(5),2022-05-18 14:15:00,14,2053,563,24,25.28571429,21,1,0,1,5,2,0,0,0,0,0,35,1.384180790725845,14,5,2
1,자운학교앞(5),2022-05-18 15:00:00,24,3600,983,94,27.0,86,0,0,5,17,6,1,2,4,7,0,35,1.296296296296296,15,5,2
2,자운학교앞(5),2022-05-18 16:00:00,21,3570,852,58,27.79166667,52,1,0,3,8,5,1,1,2,4,1,35,1.25937031469153,16,5,2
3,자운학교앞(5),2022-05-18 17:00:00,21,3571,868,77,27.83333333,65,0,0,4,19,8,5,2,1,8,0,35,1.257485030090717,17,5,2
4,자운학교앞(5),2022-05-18 18:00:00,21,3569,849,54,26.15,49,0,0,3,6,4,0,6,4,10,1,35,1.338432122370937,18,5,2
5,자운학교앞(5),2022-05-18 19:00:00,21,3570,847,65,23.25,59,0,0,2,6,4,0,4,3,7,0,35,1.505376344086022,19,5,2
6,자운학교앞(5),2022-05-18 20:00:00,22,3749,891,60,27.95454545,55,2,0,3,15,3,3,5,1,9,2,35,1.252032520528786,20,5,2
7,자운학교앞(5),2022-05-18 21:00:00,23,3572,953,65,26.31818182,53,0,0,6,23,9,5,6,3,14,0,35,1.329879101807953,21,5,2
8,자운학교앞(5),2022-05-18 22:00:00,24,3598,972,43,25.65,37,4,0,1,8,2,2,5,0,7,0,35,1.364522417153996,22,5,2
9,자운학교앞(5),2022-05-18 23:00:00,24,3600,961,9,28.375,8,1,0,0,0,0,1,0,0,1,0,35,1.233480176211454,23,5,2
10,자운학교앞(5),2022-05-19 00:00:00,24,3601,960,9,19.66666667,7,2,0,0,0,0,0,0,0,0,0,35,1.779661016647515,0,5,3
11,자운학교앞(5),2022-05-19 01:00:00,24,3600,960,4,26.5,3,1,0,0,0,0,0,1,0,1,0,35,1.320754716981132,1,5,3
12,자운학교앞(5),2022-05-19 02:00:00,24,3600,964,7,22.5,1,4,0,1,4,1,0,0,1,1,0,35,1.555555555555556,2,5,3
13,자운학교앞(5),2022-05-19 03:00:00,24,3600,957,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,0.0,3,5,3
14,자운학교앞(5),2022-05-19 04:00:00,24,3600,960,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,0.0,4,5,3
15,자운학교앞(5),2022-05-19 05:00:00,24,3600,960,12,29.0,8,4,0,0,0,0,1,1,0,2,0,35,1.206896551724138,5,5,3
16,자운학교앞(5),2022-05-19 06:00:00,21,3530,843,19,26.4375,18,1,0,1,1,0,0,0,0,0,0,35,1.32387706855792,6,5,3
17,자운학교앞(5),2022-05-19 07:00:00,21,3571,843,31,24.5,29,0,0,1,4,2,1,1,0,2,0,35,1.428571428571429,7,5,3
18,자운학교앞(5),2022-05-19 08:00:00,22,3739,897,82,24.79166667,74,0,0,3,9,6,6,6,4,16,0,35,1.411764705692536,8,5,3
19,자운학교앞(5),2022-05-19 09:00:00,23,3564,920,52,26.33333333,51,1,0,0,0,0,0,0,4,4,0,35,1.329113924218875,9,5,3
20,자운학교앞(5),2022-05-19 10:00:00,24,3601,976,62,26.45833333,51,0,0,2,13,5,2,1,3,6,8,35,1.322834645835948,10,5,3
21,자운학교앞(5),2022-05-19 11:00:00,24,3600,987,78,27.90909091,62,0,0,5,23,12,2,8,0,10,1,35,1.254071661196936,11,5,3
22,자운학교앞(5),2022-05-19 12:00:00,24,3600,963,34,27.81818182,30,1,0,2,2,2,0,1,0,1,0,35,1.25816993455829,12,5,3
23,자운학교앞(5),2022-05-19 13:00:00,23,3413,918,40,27.4,40,0,0,0,0,0,0,1,1,2,0,35,1.277372262773723,13,5,3
24,자운학교앞(5),2022-05-19 14:00:00,24,3600,971,47,25.0,44,0,0,2,8,2,0,2,1,3,0,35,1.4,14,5,3
25,자운학교앞(5),2022-05-19 15:00:00,24,3603,978,57,29.40909091,52,0,0,2,7,3,0,1,2,3,0,35,1.190108191616998,15,5,3
26,자운학교앞(5),2022-05-19 16:00:00,21,3567,856,45,28.45,40,0,0,3,12,3,0,1,2,3,0,35,1.230228471001757,16,5,3
27,자운학교앞(5),2022-05-19 17:00:00,21,3570,857,78,25.33333333,68,1,0,3,14,7,1,3,1,5,0,35,1.381578947550208,17,5,3
28,자운학교앞(5),2022-05-19 18:00:00,21,3570,841,55,25.09090909,55,0,0,1,1,0,0,1,1,2,0,35,1.394927536282425,18,5,3
29,자운학교앞(5),2022-05-19 19:00:00,21,3570,852,69,26.54166667,65,0,0,2,8,4,1,2,2,5,0,35,1.318681318515707,19,5,3
30,자운학교앞(5),2022-05-19 20:00:00,22,3740,908,78,28.08333333,65,2,0,4,20,6,3,4,1,8,1,35,1.246290801334871,20,5,3
31,자운학교앞(5),2022-05-19 21:00:00,23,3581,951,64,24.68181818,52,0,0,5,21,7,2,3,2,7,0,35,1.41804788224074,21,5,3
32,자운학교앞(5),2022-05-19 22:00:00,24,3601,974,48,25.77272727,45,0,0,2,9,2,0,2,0,2,0,35,1.358024691501731,22,5,3
33,자운학교앞(5),2022-05-19 23:00:00,24,3600,960,10,27.5,6,4,0,0,0,0,0,1,1,2,0,35,1.272727272727273,23,5,3
34,자운학교앞(5),2022-05-20 00:00:00,24,3600,963,7,28.5,5,0,0,1,3,2,0,0,0,0,0,35,1.228070175438597,0,5,4
35,자운학교앞(5),2022-05-20 01:00:00,24,3600,968,14,31.2,8,0,0,4,8,5,0,0,0,0,0,35,1.121794871794872,1,5,4
36,자운학교앞(5),2022-05-20 02:00:00,24,3600,960,5,14.5,1,3,0,1,2,1,0,2,0,2,0,35,2.413793103448276,2,5,4
37,자운학교앞(5),2022-05-20 03:00:00,24,3600,966,3,0.0,1,1,0,1,4,1,0,0,1,1,0,35,0.0,3,5,4
38,자운학교앞(5),2022-05-20 04:00:00,24,3600,960,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,0.0,4,5,4
39,자운학교앞(5),2022-05-20 05:00:00,24,3600,963,21,30.25,17,2,0,1,2,2,1,0,0,1,0,35,1.15702479338843,5,5,4
40,자운학교앞(5),2022-05-20 06:00:00,21,3531,847,24,25.42857143,17,4,0,1,6,3,1,2,1,4,0,35,1.376404494304696,6,5,4
41,자운학교앞(5),2022-05-20 07:00:00,21,3569,845,38,25.81818182,30,5,0,2,5,2,0,1,1,2,0,35,1.355633802721434,7,5,4
42,자운학교앞(5),2022-05-20 08:00:00,22,3741,894,80,25.58333333,74,0,0,3,10,3,0,5,4,9,0,35,1.368078176074017,8,5,4
43,자운학교앞(5),2022-05-20 09:00:00,23,3560,925,47,27.25,47,0,0,0,0,0,1,1,0,2,0,35,1.284403669724771,9,5,4
44,자운학교앞(5),2022-05-20 10:00:00,24,3600,994,38,25.55,28,1,0,5,27,5,0,2,2,4,2,35,1.36986301369863,10,5,4
45,자운학교앞(5),2022-05-20 11:00:00,24,3600,961,40,25.36363636,39,1,0,0,0,0,2,2,1,5,1,35,1.379928315610025,11,5,4
46,자운학교앞(5),2022-05-20 12:00:00,24,3600,978,54,28.8,45,1,0,4,15,5,0,3,2,5,2,35,1.215277777777778,12,5,4
47,자운학교앞(5),2022-05-20 13:00:00,24,3600,982,93,26.83333333,71,1,0,3,17,18,5,9,7,21,1,35,1.304347826248987,13,5,4
48,자운학교앞(5),2022-05-20 14:00:00,24,3599,983,73,27.45833333,62,1,0,4,14,8,1,5,3,9,0,35,1.274658573751097,14,5,4
49,자운학교앞(5),2022-05-20 15:00:00,24,3601,971,37,24.35,35,1,0,1,5,1,1,0,0,1,0,35,1.437371663244353,15,5,4
50,자운학교앞(5),2022-05-20 16:00:00,21,3570,846,73,23.70833333,69,1,0,1,3,1,3,5,4,12,0,35,1.47627416540967,16,5,4
51,자운학교앞(5),2022-05-20 17:00:00,21,3569,847,44,24.20833333,40,2,0,1,5,2,0,5,2,7,1,35,1.445783132729196,17,5,4
52,자운학교앞(5),2022-05-20 18:00:00,21,3570,847,53,26.54545455,49,0,0,3,6,4,0,2,1,3,0,35,1.318493150459162,18,5,4
53,자운학교앞(5),2022-05-20 19:00:00,21,3570,858,51,24.15,40,1,0,3,16,4,2,1,2,5,1,35,1.449275362318841,19,5,4
54,자운학교앞(5),2022-05-20 20:00:00,22,3741,885,51,27.40909091,49,1,0,1,1,1,0,1,1,2,0,35,1.276948590339073,20,5,4
55,자운학교앞(5),2022-05-20 21:00:00,23,3583,953,45,21.625,33,3,0,5,25,6,2,5,1,8,2,35,1.61849710982659,21,5,4
56,자운학교앞(5),2022-05-20 22:00:00,24,3597,975,34,25.25,21,3,0,3,12,6,0,2,1,3,0,35,1.386138613861386,22,5,4
57,자운학교앞(5),2022-05-20 23:00:00,24,3600,962,14,23.5,10,3,0,1,1,1,0,3,1,4,0,35,1.48936170212766,23,5,4
58,자운학교앞(5),2022-05-21 00:00:00,24,3601,957,9,30.3,6,3,0,0,0,0,0,0,1,1,0,35,1.155115511551155,0,5,5
59,자운학교앞(5),2022-05-21 01:00:00,24,3600,960,5,29.5,3,1,0,1,1,1,1,0,0,1,0,35,1.186440677966102,1,5,5
60,자운학교앞(5),2022-05-21 02:00:00,24,3600,962,2,17.0,1,1,0,0,0,0,0,1,0,1,0,35,2.058823529411764,2,5,5
61,자운학교앞(5),2022-05-21 03:00:00,24,3600,960,2,28.5,2,0,0,0,0,0,0,0,0,0,0,35,1.228070175438597,3,5,5
62,자운학교앞(5),2022-05-21 04:00:00,24,3600,960,1,36.0,1,0,0,0,0,0,0,0,0,0,0,35,0.9722222222222222,4,5,5
63,자운학교앞(5),2022-05-21 05:00:00,24,3600,973,31,26.0,9,2,0,2,11,9,0,0,0,0,3,35,1.346153846153846,5,5,5
64,자운학교앞(5),2022-05-21 06:00:00,21,3530,850,19,29.64285714,11,0,0,2,12,4,1,1,0,2,3,35,1.18072289168007,6,5,5
